Previous 1929 High,Previous 1929 Low,Stock,Sales,High,Low,Close,Previous Close
,,Briggs & Stratton,3,35.625,35.5,35.625,35.5
,,Brockway M T,17,23.375,22.5,23.375,23
,,Brooklyn-Manhattan,31,64,61.125,61.125,60.5
,,Brooklyn-Manhattan pf,3,82.5,82.5,82.5,82.5
,,Brooklyn & Queens,2,9.5,9.5,9.5,9.75
,,Brooklyn Union Gas,2,182,180,180,182
,,Brown Shoe,3,49,47.5,49,48
,,Bruns-Balk-Col,19,35,32,33.125,35
,,Bruns Ter & Ry S,2,13.25,13,13.25,13
,,Bucyrus Erie,7,27.625,26,26,27.875
,,Bucyrus cv pf,3,39.5,38.375,38.625,38.625
,,Budd (EG),16,19.125,15,16.75,19.125
,,Bullard Co,6,49.25,47.75,47.75,50
,,Burns Bros A,,,,,
,,Burns Bros B,1,31,31,31,31
,,Bur Add Mach,74,86,80.875,83.25,85.25
,,Bush Term g2,4,53,51,51,54
,,Butte Copper & Zinc,10,3.5,3.5,3.5,3.75
,,Butte & Superior,2,6.75,6.5,6.5,6.5
,,Byers A M,,,,,
,,By-Prod Coke,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,Calif Packing,15,76.875,75.125,75.125,76
,,Callahan Zinc & L,2,1.625,1.625,1.625,1.75
,,Calumet & Ariz,13,120.375,118.625,118.625,120.875
,,Calumet & Hecla,41,38.875,37,37.625,39.125
,,Campbell Wyant,5,35,35,35,36
,,Canada Dry G A,55,84,81.5,82.5,84
,,Canadian Pac,24,212,209.5,209.5,210.75
,,Cannon Mills,6,41,40,40,42
,,Cap Administration A,10,55,52.5,52.5,56
,,Case (JI),2,255,240,240,250
,,Cavanagh-Dobbs,5,16,16,16,16.5
,,Celotex,3,51.75,51,51,51.875
,,Cent Aguirre As,46,32,32,32,36
,,Cent Alloy Steel,34,53.125,52,52,53
,,Century Rib Mills,1,6.5,6,6,7
,,Cerro de Pasco,30,86.5,83.75,86.5,85
,,Certain-teed Production,3,23,23,23,23.25
,,Checker Cab Mfg Co.,25,67.875,64.75,66,67.125
,,Ches & Ohio,18,260,257.75,257.75,259.75
,,Chesapeake Corp,8,79.5,78.5,79.5,80
,,Chi & Alton,4,6.375,6.125,6.125,6
,,Chi & Alton pf,2,8.5,8,8.5,8
,,Chi Great Western,39,16.5,15.75,15.75,16.5
,,Chi Great Western pf,16,50.5,44.25,44.25,51
,,Chi Mil St P & Pac,47,36.75,36.125,36.75,36
,,Chi Mil St P & Pac pf,42,56.125,55,55,56.5
,,Chi & N W,38,95.5,93,93,93.625
,,Chi Pneu Tool,3,40,37.75,40,37.5
,,Chi Pneu Tool pf,2,56.125,56,56,57.875
,,Chi R I & Pac,9,131,130,130,130
,,Chi R I & Pac pf,1,102,102,102,102.5
,,Chi R I & Pac pf,4,108,107,107,107.25
,,Chickasha C Oil,4,33,33,33,33.5
,,Childs Co,18,71.375,69.25,69.25,71
,,Chrysler Corp,220,55.5,53.25,53.25,55
,,City Ice & F,2,52,51.5,51.5,53
,,City Stores,17,15,14.625,14.625,15.25
,,Clark Equipment,5,61,60.75,60.75,60.75
,,C C C & St L,1,250,250,250,263
,,Cluett Peabody,2,45,45,45,45
,,Coca-Cola,4,145,143.25,143.5,144
,,Coca Cola A,2,47.25,47,47,47.375
,,Collins & Aikman,2,33.5,31.5,31.5,35
,,Collins & Aikman pf,1,88,88,88,88
,,Colo Fuel & Iron,9,58,54,58,60
,,Col Gas & Electric,620,108.75,101.5,101.5,106.25
,,Col Gas & Electric pf,2,108,106.75,106.75,108.375
,,Columbus Graph,278,50,45.375,45.75,48.75
,,Col Graph Rets,1,47,47,47,52
,,Columbian Carb,11,269,255,255.25,269
,,Com Credit,50,45,43.5,44,45
,,Comm Credit,10,45.75,44.5,44.5,46.5
,,Comm Invest Trust,44,66,64.75,64.75,67
,,Com inv Trst war,5,50.5,44,44,55.5
,,Com Inv Tr pf,1,94,94,94,93.875
,,Comm & Solvents,176,54.875,51.625,53.75,53.875
,,Comm & Solvents,670,20.125,18.75,18.75,20
,,Congoleum-Nairn,156,22.375,21.125,21.125,22.125
,,Cong Cigars,2,65,62.5,62.5,65
,,Consol Cigar,6,57,55.25,55.25,59
,,Consol Film,20,22.5,20.25,20.25,22
,,Consol Film pf,26,25,23.125,25,24.25
,,Consol Gas,600,132.5,127.25,129,131.75
,,Consol Gas pf,183,98.5,98.5,98.5,98.625
,,Consol RR Cub pf,7,57,57,57,57.75
,,Consol Textile,16,2.125,2,2,2
,,Container Corp A,2,19.25,18,18.125,20
,,Container Corp B,2,7.75,7.5,7.5,7.75
,,Continental Baking A,3,63,60.25,60.25,60.25
,,Continental Baking B,63,9.875,9.125,9.125,9
,,Continental Baking pf,3,94.25,94,94,94
,,Continental Bank NY,20,56,55.875,56,55.75
,,Continental Canada,205,79.75,75.5,76,78.5
,,Continental Insurance,33,91.25,89.5,89.5,92.125
,,Continental Motors,125,11,10.25,10.25,10.25
,,,,,,,
,,Continental Oil and Deisel,126,37,35.125,35.75,36.25
,,Corn Prod,233,120,118.125,118.875,118.875
,,Coty Inc,52,43.5,42.375,42.375,43.75
,,Crex Carpet,1,23,23,23,25
,,Crossley Radio,63,61.75,54.75,60,62.75
,,Crown Cork & Seal,4,68.5,65.25,65.25,67.5
,,Crown Zellerbach,2,20.625,20,20,22
,,Crucible Steel,15,96,93,93,95.25
,,Cuba Cane Sugar,9,1.25,1,1.25,1.125
,,Cuba Cane Sugar pf,2,4.25,4.25,4.25,4.25
,,Cuba Co,1,15.5,15,15,15.75
,,Cuban-Amer Sugar,6,11.25,11.25,11.25,11.25
,,Cudahy Packing,9,46,44.75,44.75,47
,,Curtis Pub,1,120.125,120.125,120.125,121
,,Curtiss Wright Corp,240,13.5,12.625,13.375,12.75
,,Curt Wright Corp A,75,23.875,22.25,23.25,22.875
,,Cutler-Ham,4,112.375,106,106,113
,,Cuyamel Fruit,1,117.25,115,117.25,114
,,Davison Chem,12,50,48.5,48.375,51
,,Delaware & Hud,12,192.5,191.125,192.5,191.375
,,Del Lack & W,14,153,150.5,151.5,151.25
,,Denv & R G W,3,66,65.25,65.25,66
,,Detroit Edison,6,353,350,350,355
,,Devoe & Ray A,3,43.25,43.25,43.25,44.25
,,Dome Mines,2,8.625,8.375,8.375,8.5
,,Dominion Strs,3,34,32.25,32.375,34
,,Drug Corpn,27,110,107,107,110.75
,,Dunhill Inter,8,49,48,48,51
,,Duplan Silk,4,19,19,19,20
,,Du Pont de N,82,179.25,175.75,175.75,178
,,Du Pont de N deb,2,115.5,115.5,115.5,115.5
,,East Roll Mill,1,30,30,30,30.5
,,Eastman Kodak,86,223.75,216.25,221,217.5
,,Eaton Axle & S,28,48,45.125,45.5,44.5
,,Eiting-Sch,2,20.5,20.5,20.5,23
,,Elec Auto Lite,60,129.25,125.75,125.75,129.5
,,Electric Boat,39,6.75,6.25,6.5,6.625
,,El Pwr & Lt,93,56,51.625,51.625,53.25
,,El Pwr & Lt pf,2,106.75,106.75,106.75,107
,,Elect Stor Bat,61,97.875,88.5,88.5,95
,,Elk Horn Coal,12,10,9.5,9.75,9.5
,,Emmerson-Brnt A,3,6.75,6.75,6.75,6.75
,,Endicott-John,3,61,61,61,62
,,Endicott-John pf,1,108.25,108.25,108.25,111
,,Eng Pub Serv,87,57.875,50.25,50.25,56
,,Eng Pub sve pf,1,105.25,105.25,105.25,106.25
,,Eng Pub Sve pf,1,103,103,103,105
,,Equitable Building,3,38.5,38,38.25,38.875
,,Erie RR,70,77.625,74.5,74.5,75.5
,,Erie RR 1st pf,14,64.5,64.25,64.375,64.125
,,Erie RR 2nd pf,1,63,63,63,63
,,Evans Auto Loan,3,42.5,41.5,41.5,43
,,Fairbanks Morse,9,44,44,44,43.5
,,Fash Pk Asso,2,49,48,49,49.875
,,Fed Lt & Trc,7,92.75,89,90,93
,,Fed Motor Tr,11,11.125,9.5,9.5,12
,,Fed Watr Ser Ser A,17,49,46,46,48
,,Fid Phen F Insurance,13,107,105,105.5,107.5
,,First National Stores,9,81,78,78,80.5
,,Fisk Rubber,11,6.875,6.5,6.875,6.75
,,Follansbee Bros,6,68.5,67.125,67.125,69
,,Foster Wheeler,26,72,66.75,66.75,72
,,Fox Film A,65,92.5,87,89.5,92.125
,,Freeport-Texas,42.5,40,40,41.5,41.5
,,Fuller pr pf,1,103,103,103,103
,,Gabriel Snub A,2,15.25,15.125,15.125,15
,,Gamewell Co,1,78,78,78,78
,,Gardner Motor,9,7,6,6.5,6.5
,,Gen Am Tnk Car,27,112.875,110.125,110.5,113.875
,,Gen Asphalt,22,81,79.5,79.5,80.625
,,Gen Asphalt pf,1,118,118,118,125
,,Gen Bronze,1,46.5,46.5,46.5,48.25
,,Gen Cable,8,48,45,46,47
,,Gen Cable A,27,99,98,98,102.25
,,Gen Cigar,1,63,63,63,64
,,Gen Electric,235,344,327,330,339.25
,,Gen Elec Spec,5,11.25,11.125,11.25,11
,,Gen’l Food Corpn,13,58,54,57,60
,,Gen Gas & Electric A,57,94.375,89.75,91.5,94.5
,,Gen Mills,16,68.125,67,67,68.125
,,Gen Mills pf,4,91,89.875,91,90.5
,,Gen Motors,1012,61.25,57.75,58.5,60.25
,,Gen Outdoor Adv A,2,47.625,47.5,47.5,47.5
,,Gen Outdoor Adv vtc,7,29,28.5,28.75,29.125
,,Gen Public Service,28,56,50,52.25,55.125
,,Gen Ry Signal,17,105,103,103,107.5
,,Gen Refrac,6,77.75,75,75,78.25
,,Gillette Saf Raz,45,192,127,127.875,129
,,Gimbel Brothers,6,28.875,28.125,28.5,28.875
,,Gimbel Brother pf,3,87,87,87,91.875
,,Glidden Co,2,54.5,53,53,55
,,Gohel,33,24.75,23,23,24.5
,,Gold Dust,148,61.125,57.5,60.5,59.875
,,Gold Dust pf,1,110,110,110,110
,,Goodrich B F,52,66.5,63.25,63.25,63
,,Goodrich pf,4,106,106,106,106
,,Goodyear Tire,73,99.5,95.5,95.5,98.625
,,Goodyear 1st pf,3,99.5,99.5,99.5,99.625
,,Gotham Silk H,2,32,30.25,30.75,32.75
,,Graham-Paige,41,16.375,15.125,15.25,15.5
,,Graham-Paige ct,3,14.875,14.875,14.875,15
,,Granby Copper,18,80,77.75,78.5,78.5
,,Grand Stores,3,77.5,76.25,76.25,71.25
,,Grand Stores pf,1,104,104,104,105
,,Grand Union,2,21.625,21,21,21.5
,,Grand Union pf,2,42,42,42,43
,,Granite City Stl,5,50.25,50.25,50.25,53
,,Grant W T,11,123.125,122.75,122.75,125
,,Grt North pf,1,111,108,108,111.75
,,Grt North pf ct,5,106,106,106,106
,,Grt Nor Ore,12,29,28.25,28.25,29
,,Grt West Sug,19,36,35.125,35.125,35.875
,,Grigsby Grunow,128,54.5,43.5,45.5,52
,,Gulf Mo & North,1,43.5,43.5,43.5,45
,,Gulf Sta Steel,5,69.75,69,69,69
,,Hahn Dept Stores,23,27.5,26.875,29.875,28.75
,,Hahn Dept S pf,3,89,89,89,89
,,Hartman A,7,29.625,28,28.5,29.625
,,Hartman B,23,22.875,22,22.125,22
,,Hayes Body,26,19.5,18.25,18.5,19.625
,,Hershey Choclate,13,131,125,125,130.5
,,Hershey Choclate pf,9,131,126,126,130.5
,,Hoo,1,26.5,26.5,26.5,27
,,Holland Furn,1,36.5,36.125,36.125,37.375
,,Hollander & Son,5,15,14,14,17.875
,,Houd Hersh B,25,32,32,32,37
,,Hsehld Fin pf,2,50.125,50,50,50.375
,,Household Prd,5,65,64.125,64.125,65.25
,,Houston Oil,37,85,79,81,85.125
,,Howe Sound,7,56.75,55,55,55
,,Hudson & Man,28,51,50.25,50.5,51.125
,,Hudson Motor,45,71,70,70,70.5
,,Hupp Motor,75,39.25,38.625,38.75,39.5
,,Illinois Central,4,136,135,135,135.125
,,Independent Oil & Gas,6,30,29.25,29.625,30.25
,,Indian Motor Cycle,3,6.5,6,6.5,6.125
,,Indian refining,63,39.75,36,37,39
,,Indian Refining et,33,37.125,34,34,37
,,Industrial Rayon,64,95,94,94.625,95.75
,,Ingersol Rand,5,193.5,190,190,197
,,Inland Steel,7,94,94,94,95
,,Inspiration,17,39.5,38.125,38.5,37.75
,,Intercontinental Rub,3,8.75,8.75,8.75,9
,,Interboro Rap Tran,10,28.25,25.125,27.5,28.75
,,International Agricultural,3,6.875,6,6,7
,,International Agricultural pr pf,2,63.5,62,63.5,62
,,International Business M,6,238.75,235,235,237.25
,,International Cement,3,61.625,61.5,61.625,61.875
,,International Combustion,240,25.5,23.5,23.5,24.625
,,International Cmb Eng pf,9,71,67,67,70
,,International Harvester,50,107,103.125,107,108.125
,,International Harv pf,3,140.125,140,140,140
,,International Match pf,13,78,75.375,75.375,76.625
,,International Mer Marine etfs,8,38,37.125,38,37.875
,,International Nickel of Canada,377,49.5,47.625,47.75,48.875
,,International Pap & P A,15,39.5,38.125,39.5,41
,,International Pap & Pwr B,11,30.5,30.25,30.5,30.75
,,International Pap & Pwr C,92,23,21.625,22.375,23.5
,,International Pap & Pwr pf,1,93.375,93.375,93.375,93
,,International Print Ink,3,62,61,62,62
,,International Shoe,3,72.5,71,71,72.5
,,International Silver,3,135,134.5,134.5,135
