Previous 1929 High,Previous 1929 Low,Stock,Sales,High,Low,Close,Previous Close
,,Pathe Exchange A,11,13,10.25,13,15
,,Patino Mines,16,36.375,34.375,35,36.375
,,Peerless Motor Car,1,10.875,10.625,10.875,10.375
,,Penick & Ford,140,51.75,47,47,51.375
,,Penn Coal & Coke,1,11,11,11,11.5
,,Penn Dixie Cement,7,8,7.5,7.5,8.25
,,Penn Dixie Cm pf,2,38,38,38,38
,,Pennsylvania RR,184,99,97.625,98,99
,,People’s Gas Chi,22,355,345,345,360
,,Pere Marquette,4,205.25,200,200,211
,,Pet Milk,1,25,25,25,25
,,Phelps Dodge,13,58.5,57.375,57.375,58.5
,,Phila & Read C & I,85,23.75,21.125,21.25,24.5
,,Philip Morris,8,11.375,10.875,10.875,11.375
,,Phillips-Jones,,,,,
,,Phillips Pete,,,,,
,,Pierce-Arrow A,,,,,
,,Pierce Arrow pf,,,,,
,,Pierce Oil,,,,,
,,Pierce Petroleum,,,,,
,,Pillsbury Fl,,,,,
,,Pirelli Co A,,,,,
,,Pittsburgh Coal,,,,,
,,Pittsburgh Coal pf,,,,,
,,Pittsburgh Screw,,,,,
,,Pittsburgh Terminal Coal,,,,,
,,Pittsburgh & W Va,,,,,
,,Poor & Co,,,,,
,,Puerto Rican American Tobaco A,,,,,
,,Puerto Rican American Tobaco B,,,,,
,,Postal Telephone & Co pf,,,,,
,,Prairie Oil & Gas,,,,,
,,Prairie Pipe L,,,,,
,,Pressed Steel Car,,,,,
,,Pressed steel C pf,,,,,
,,Proct & Gamble,,,,,
,,Prod & Refiners,,,,,
,,Pub Sve NJ,,,,,
,,Pub Sve NJ pf,,,,,
,,Pub Sve NJ pf,,,,,
,,Pub Sve E&G pf,,,,,
,,Pullman Corp,,,,,
,,Punta Alegre Sugar,,,,,
,,Pure Oil,,,,,
,,Purity Bakeries,,,,,
,,Radio Corp,,,,,
,,Radio pf A,,,,,
,,Radio pf B,,,,,
,,Radio-Keith-Orph A,,,,,
,,Railway & Exp,,,,,
,,Raybestos Manhattan,,,,,
,,Reading,,,,,
,,Reading 2d pf,,,,,
,,Real Silk,,,,,
,,"Reis, R. & Co.",,,,,
,,Remington-Rand,,,,,
,,Reming-Rnd 1st,,,,,
,,Reming-Rnd 2nd,,,,,
,,Reo Motors,,,,,
,,Rep Brass Corp,,,,,
,,Rep Brass A,,,,,
,,Republic Ir & Steel,,,,,
,,Rep Ir & Steel pf,,,,,
,,Reynolds Spring,,,,,
,,Reynolds Tb B,,,,,
,,Richfield Oil,,,,,
,,Rio Grande Oil,,,,,
,,Rossia Ins,,,,,
,,Royal Dutch,,,,,
,,Safeway Stores,,,,,
,,St Joseph Lead,,,,,
,,St L-San Fran,,,,,
,,St L-San Fran pf,,,,,
,,St L Southwestern,,,,,
,,St L Southwestern pf,,,,,
,,Savage Arms,,,,,
,,Second National Inv Corp,,,,,
,,Schulte Retail Stores,,,,,
,,Seaboard Air Line,,,,,
,,Seaboard Air Line pf,,,,,
,,Seagrave,,,,,
,,Sears Roebck,,,,,
,,Seneca Copper,,,,,
,,Servel Inc,,,,,
,,Sharon Steel H,,,,,
,,Sharp & Do pf,,,,,
,,"Shattuck, F. G.",,,,,
,,Shell Union,,,,,
,,Shubert Theater,,,,,
,,Simmons Co,,,,,
,,Simms Pet,,,,,
,,Sinclair Oil,,,,,
,,Skelly Oil,,,,,
,,Snider Packing,,,,,
,,Snider Packing pf,,,,,
,,Selvay Am In pf,,,,,
,,So Porto R Sug,,,,,
,,Souther Cal Ed,,,,,
,,Southern Dairies B,,,,,
,,Southern Pacific,,,,,
,,Southern Railway,,,,,
,,Southern Railway pf,,,,,
,,Spalding,,,,,
,,Spang-Chalfant,,,,,
,,Sparks Withngtn,,,,,
,,Spencer Kelg,,,,,
,,Spicer Mfg,,,,,
,,Spicer Mfg pf,,,,,
,,Spiegel-Mav-St,,,,,
,,Stand Brands,,,,,
,,Stand Com Tob,,,,,
,,Stand Gas & El,,,,,
,,Stand Gas & El pf,,,,,
,,Stand Oil Calif,,,,,
,,Stand Oil N J,,,,,
,,Stand Oil N Y,,,,,
,,Stand Plate Glass,,,,,
,,"Starrett, L. S. & Co.",,,,,
,,Sterling Sec A,,,,,
,,Seterling Sec pf,,,,,
,,Sterling Sec cv,,,,,
,,Steward Warn,,,,,
,,Stone & Webster,,,,,
,,Studebaker,,,,,
,,Submarine Boat,,,,,
,,Sun Oil,,,,,
,,Superior Oil,,,,,
,,Superior Steel,,,,,
,,Symington,,,,,
,,Telautograph,,,,,
,,Tenn Cop & Ch,,,,,
,,Texas Corp,,,,,
,,Texas Gulf Sul,,,,,
,,Texas & Pac,,,,,
,,Texas P C & Oil,,,,,
,,Texas Pac Land Tr,,,,,
,,Thatcher Mfg,,,,,
,,The Fair,,,,,
,,Third Avenue,,,,,
,,Thompson J R,,,,,
,,Tide Water Asso,,,,,
,,Tide Wat Asso pf,,,,,
,,Tide Water Oil,,,,,
,,Timkn Det Axle,,,,,
,,Timken Roller,,,,,
,,Tobacco Prod,,,,,
,,Tob Prod ctfs,,,,,
,,Tobacco Pr A,,,,,
,,Tob Prod ctfs A,,,,,
,,Transcontinental,,,,,
,,Trico Prod,,,,,
,,Truax Traer,,,,,
,,Truscon Steel,,,,,
,,Underw-El-Fish,,,,,
,,Union Bag & Paper,,,,,
,,Union Carbide,,,,,
,,Union Oil of Cal,,,,,
,,Union Pacific,,,,,
,,Union Pacific pf,,,,,
,,United Aircraft and Transpiration,,,,,
,,United Aircraft and Transpiration pf,,,,,
,,Utd Biscuit,,,,,
,,United Carbon,,,,,
,,Utd Cigar Stores,,,,,
,,United Cigar Stores pf,,,,,
,,United Corporation,,,,,
,,United Corp pf,,,,,
,,United Electronic Coal,,,,,
,,United Fruit,,,,,
,,United Gas & Im,,,,,
,,United Gas & Im pf,,,,,
,,United Paperboard,,,,,
,,United Piece Dye Wks,,,,,
,,US Distributing,,,,,
,,US Distributing pf,,,,,
,,US & Foreign Secur,,,,,
,,US & For Sec pf,,,,,
,,US Freight,,,,,
,,US Hoffman,,,,,
,,US Ind Alco,,,,,
,,US Leather,,,,,
,,US Leather A,,,,,
,,US PIPE & Fdry,,,,,
,,US Realty,,,,,
,,US Rubber,,,,,
,,US Rubber 1st pf,,,,,
,,US Smelt Ref,,,,,
,,US Steel,,,,,
,,US Steel pf,,,,,
,,Univ Pipe & Rad,,,,,
,,Util Pwr & Lt A,,,,,
,,Vadsco Sales,,,,,
,,Vanadium,,,,,
,,Vick Chemical,,,,,
,,Virginia-Char Chem,,,,,
,,Virginia-Char Chem pf,,,,,
,,Wabash,,,,,
,,Wabash pf A,,,,,
,,Wabash pf B,,,,,
,,Waldorf Systm,,,,,
,,Walworth,,,,,
,,Ward Baking B,,,,,
,,Ward Baking pf,,,,,
,,Warners Bros P,,,,,
,,Warn Br P pf,,,,,
,,Warner-Quinian,,,,,
,,Warren Bros,,,,,
,,Warren Fdry & Pipe,,,,,
,,Webster-Eisenlohr,,,,,
,,Wess Oil & Snow,,,,,
,,Wess Oil & Snow pf,,,,,
,,Westn Dairy A,,,,,
,,Westn Dairy,,,,,
,,Western Maryland,,,,,
,,Western Pacific,,,,,
,,Western Pacific pf,,,,,
,,Western Union,,,,,
,,Westngh Air Brk,,,,,
,,Western Union El&M,,,,,
,,Weston El Instru,,,,,
,,Westvaco Chlor,,,,,
,,Wextark Radio,,,,,
,,White Eagle Oil,,,,,
,,White Motor,,,,,
,,White Rock M S,,,,,
,,White Sewing Machine,,,,,
,,Wilcox Oil & Gas,,,,,
,,Wilcox Rich A,,,,,
,,Wilcox Rich B,,,,,
,,Willys-Over,,,,,
,,Wilson & Co,,,,,
,,Wilson & Co A,,,,,
,,Wilson & Co pf,,,,,
,,Woolworth,,,,,
,,Worthington Pump,,,,,
,,Wrigley Wm,,,,,
,,Yale & Towne,,,,,
,,Yellow Truck,,,,,
,,Young Spring,,,,,
,,Young Sheet,,,,,
,,Zenith Radio,,,,,
